Revealed,ID,Rarity,Character Name,Character Version,Chakra,Power,Keyword,Group,Effects Type,Effects Timing,Effect,Set,Image
TRUE,KS-001-C,C,Hiruzen Sarutobi,The Professor,3,3,Hokage,Leaf Village,MAIN,↯ On play,**MAIN** [↯] **POWERUP 2** another friendly *Leaf Village* character.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/01_C_Hiruzen_Professor-1920w.webp
TRUE,KS-002-UC,UC,Hiruzen Sarutobi,Third Hokage,5,4,Hokage,Leaf Village,MAIN,↯ On play,"**MAIN** [↯] Play a *Leaf Village* character anywhere paying 1 less.

**UPGRADE** [↯] **POWERUP 2** the character played with the MAIN effect.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/02_UC_Hiruzen_Hokage-1920w.webp
TRUE,KS-003-C,C,Tsunade,Master Medical Ninja,3,3,Sannin,Leaf Village,MAIN,⧗ Continuous,"**MAIN** [⧗] When any friendly character is defeated, gain 2 Chakra.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/03_C_Tsunade_Master-1920w.webp
TRUE,KS-004-UC,UC,Tsunade,Mitotic Regeneration,4,4,"Sannin, Jutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] Defeated friendly characters go into your hand instead of your discard pile.

**UPGRADE** [↯] Choose one character in your discard pile and put them into your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/04_UC_Tsunade_Reserve-Seal-1920w.webp
TRUE,KS-005-C,C,Shizune,Assistant to Tsunade,2,1,,Leaf Village,MAIN,⧗ Continuous,**MAIN** [⧗] **CHAKRA +1**.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/05_C_Shizune_Assistant-1920w.webp
TRUE,KS-006-UC,UC,Shizune,Prepared Needle Shot,3,2,Weapon,Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Move an enemy character with Power 3 or less in play.

**UPGRADE** [↯] Gain 2 Chakra.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/06_UC_Shizune_Needle_Shot-1920w.webp
TRUE,KS-007-C,C,Jiraiya,Toad sage,4,4,Sannin,Leaf Village,MAIN,↯ On play,"**MAIN** [↯] Play a *Summon* character anywhere, paying 1 less.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/07_C_Jiraiya_Toad_Sage-1920w.webp
TRUE,KS-008-UC,UC,Jiraiya,Earth Style: Dark Swamp,5,5,"Sannin, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Play a *Summon* character anywhere, paying 2 less.

**UPGRADE** [↯] Hide an enemy character with cost 3 or less in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/08_UC_Jiraiya_Dark_Swamp-1920w.webp
TRUE,KS-009-C,C,Naruto Uzumaki,Genin of the Leaf Village,2,3,Team 7,Leaf Village,,,,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/09_C_Naruto_Genin-1920w.webp
TRUE,KS-010-C,C,Naruto Uzumaki,Substitution Jutsu,3,3,"Team 7, Jutsu",Leaf Village,AMBUSH,↯ On play,**AMBUSH** [↯] Move this character from this mission.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/10_C_Naruto_Substitution-1920w.webp
TRUE,KS-011-C,C,Sakura Haruno,Genin of Team 7,2,2,Team 7,Leaf Village,MAIN,↯ On play,"**MAIN** [↯] If there's another *Team 7* character in this mission, draw a card.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/11_C_Sakura_Genin-1920w.webp
TRUE,KS-012-UC,UC,Sakura Haruno,Chakra Prowess,3,2,Team 7,Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] **CHAKRA +1**.

**UPGRADE** [↯] Draw 1 card. If you do so, you must discard 1 card.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/12_UC_Sakura_Chakra_Prowess-1920w.webp
